Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Priority,Ticket Channel,Assigned Agent,Agent Quality Score,First Response Time (hrs),Resolution Time (hrs),Num Interactions,SLA Breached,Reopened,Resolved First Contact,Purchase Days Ago,Customer Satisfaction Rating
1001,67,Male,Dell XPS 13,01-01-2021,Cancellation request,Critical,Social media,Agent_045,2.19,7.18,0.49,3,0,0,0,99,3
1002,61,Female,MacBook Air,01-01-2021,Technical issue,High,Chat,Agent_034,3.01,0.21,3.27,3,0,1,0,631,2
1003,21,Female,GoPro Hero,01-01-2021,Billing inquiry,Medium,Phone,Agent_019,3.74,0.41,28.25,2,1,0,0,10,2
1004,41,Female,MacBook Air,02-01-2021,Refund request,Critical,Chat,Agent_034,3.01,0.57,1.05,3,0,0,0,585,4
1005,24,Male,Bose QuietComfort,02-01-2021,Billing inquiry,Low,Email,Agent_036,2.93,1.87,48.86,4,1,1,0,209,1
1006,41,Male,iPhone 15,02-01-2021,Billing inquiry,Low,Email,Agent_004,1.73,3.03,68.4,4,1,1,0,636,1
1007,69,Male,Xbox Controller,03-01-2021,Billing inquiry,High,Email,Agent_010,3.41,1.91,6.35,3,0,0,0,38,4
1008,28,Female,Bose QuietComfort,03-01-2021,Refund request,Medium,Social media,Agent_017,2.74,8.67,32.14,2,1,0,0,94,2
1009,19,Female,Samsung Galaxy,04-01-2021,Refund request,Medium,Email,Agent_016,3.21,1.78,18.14,5,0,0,0,233,3
1010,61,Female,Samsung Galaxy,04-01-2021,Product inquiry,High,Social media,Agent_021,3.73,9.27,6.88,2,0,0,0,163,4
1011,58,Male,Dell XPS 13,04-01-2021,Product inquiry,Critical,Email,Agent_028,2.13,4.68,2.62,3,1,0,0,652,2
1012,23,Other,Bose QuietComfort,05-01-2021,Product inquiry,Medium,Chat,Agent_008,3.14,0.41,32.27,4,1,0,0,242,2
1013,24,Female,Dell XPS 13,05-01-2021,Billing inquiry,Medium,Social media,Agent_029,2.33,7.21,9.15,6,0,0,0,682,3
1014,55,Male,iPhone 15,05-01-2021,Cancellation request,Medium,Email,Agent_006,2.49,5.99,8.38,1,0,0,1,98,3
1015,35,Male,Samsung Galaxy,06-01-2021,Refund request,High,Chat,Agent_030,2.97,0.27,2.1,1,0,0,1,383,3
1016,62,Male,GoPro Hero,06-01-2021,Product inquiry,Low,Social media,Agent_002,2.83,5.46,88.44,4,1,0,0,579,1
1017,26,Male,Samsung Galaxy,07-01-2021,Cancellation request,Critical,Chat,Agent_047,4.36,0.35,1.76,2,0,0,0,289,5
1018,45,Female,HP Elite Laptop,07-01-2021,Product inquiry,High,Chat,Agent_031,1.88,0.23,5.4,2,0,0,0,616,3
1019,36,Male,Sony WH-1000XM5,07-01-2021,Product inquiry,High,Chat,Agent_025,1.7,0.29,9.37,2,1,0,0,141,2
1020,21,Male,Xbox Controller,08-01-2021,Cancellation request,Critical,Social media,Agent_023,3.96,5.77,0.54,4,0,0,0,203,4
1021,21,Female,Bose QuietComfort,08-01-2021,Product inquiry,Critical,Social media,Agent_043,3.9,10.69,1.83,3,0,0,0,488,4
1022,30,Male,Dell XPS 13,08-01-2021,Billing inquiry,Low,Phone,Agent_021,3.73,0.28,48.37,3,1,0,0,404,1
1023,45,Male,Sony WH-1000XM5,09-01-2021,Billing inquiry,Low,Phone,Agent_016,3.21,0.55,24.87,2,0,0,0,417,2
1024,28,Male,Sony WH-1000XM5,09-01-2021,Billing inquiry,High,Phone,Agent_004,1.73,0.46,3.58,6,0,0,0,306,3
1025,19,Male,MacBook Air,10-01-2021,Technical issue,Critical,Phone,Agent_043,3.9,0.69,1.82,2,0,0,0,137,5
1026,23,Female,LG Monitor,10-01-2021,Product inquiry,High,Social media,Agent_046,2.74,6.51,6.24,2,0,0,0,618,3
1027,29,Male,MacBook Air,10-01-2021,Technical issue,Medium,Phone,Agent_008,3.14,0.22,17.97,4,0,0,0,130,3
1028,57,Female,MacBook Air,11-01-2021,Refund request,High,Email,Agent_006,2.49,3.31,2.23,4,0,0,0,625,3
1029,54,Female,Xbox Controller,11-01-2021,Cancellation request,Low,Phone,Agent_027,4.57,0.07,12.18,4,0,0,0,116,3
1030,41,Male,HP Elite Laptop,11-01-2021,Refund request,Critical,Email,Agent_036,2.93,4.75,3.46,2,1,1,0,138,2
1031,69,Female,Samsung Galaxy,12-01-2021,Technical issue,Medium,Email,Agent_036,2.93,0.47,8.47,4,0,0,0,415,3
1032,26,Male,MacBook Air,12-01-2021,Billing inquiry,Critical,Chat,Agent_024,4.32,0.21,1.99,2,0,0,0,161,5
1033,43,Male,iPhone 15,13-01-2021,Product inquiry,Medium,Chat,Agent_006,2.49,0.42,22.23,4,0,1,0,620,3
1034,21,Female,Samsung Galaxy,13-01-2021,Product inquiry,Critical,Chat,Agent_043,3.9,0.25,1.72,3,0,0,0,248,4
1035,58,Other,HP Elite Laptop,13-01-2021,Billing inquiry,Medium,Phone,Agent_033,2.44,0.64,22.24,4,0,0,0,134,3
1036,61,Female,Dell XPS 13,14-01-2021,Product inquiry,High,Social media,Agent_002,2.83,9.58,6.77,4,0,0,0,526,4
1037,21,Male,LG Monitor,14-01-2021,Cancellation request,Critical,Email,Agent_041,3.03,4.66,1.78,3,0,0,0,590,4
1038,66,Male,Samsung Galaxy,14-01-2021,Cancellation request,High,Social media,Agent_016,3.21,3.84,12.41,3,1,0,0,271,3
1039,69,Female,Bose QuietComfort,15-01-2021,Cancellation request,High,Social media,Agent_038,3.41,4.48,4.39,4,0,0,0,225,4
